id;site;street;zip_code;city;state
1;HTTP explicit;Torrey Bridge;58566-1609;Tyreektown;New York Data North Dakota
2;North Carolina Granite;Reggie Station;63896-9212;East Baronbury;Ergonomic Rubber Chicken
3;Handcrafted Plastic Shirt quantifying;Schultz Brooks;24166;New Trent;Handmade Cotton Bacon Specialist China
4;quantify multi-byte;Hardy Ways;32753;Watersmouth;Managed Dobra application
5;Fantastic;Joany Underpass;83328;West Amirtown;Internal Fantastic time-frame
6;CFP Franc Borders Borders;Bosco Cliffs;63562;Westfort;back-end Unbranded Cambridgeshire
7;Designer;Rippin Causeway;53719-1678;Samsonton;Practical Algerian Dinar Fantastic Fresh Salad
8;Steel Avon Visionary;Stracke Pass;88299;McLaughlinmouth;repurpose Sleek
9;mesh system Triple-buffered;Kemmer Highway;20445;Lake Blairmouth;quantifying
10;synthesize Idaho Markets;Graham Isle;85249;Andersonshire;Arizona success Sleek Frozen Chips
