id;date;partnumber;partdescription;qtyin;qtyout;language
1;Inlet Hungary Configurable;interface;Toys;32207;84070;FRENCH
2;Concrete National;Ranch impactful;Berkshire Awesome;53710;73682;FRENCH
3;Cotton encompassing;Dynamic Home Loan Account;dot-com;98651;33034;SPANISH
4;Pants;Avon;blue scalable Car;89676;84231;ENGLISH
5;Strategist Fresh incubate;Human Jewelery Engineer;Fish Tanzanian Shilling;92937;71845;FRENCH
6;override silver orchestration;tan program;Metal Auto Loan Account;28863;8729;FRENCH
7;Montenegro;frictionless;Rubber Awesome Frozen Mouse;32235;68457;SPANISH
8;Investment Account;Investment Account cross-platform;Configuration;83061;74597;ENGLISH
9;Shirt;Mobility;Arizona synthesizing Fresh;79526;75050;FRENCH
10;Mouse open-source payment;National structure;whiteboard indexing;43913;71378;FRENCH
